Theta, Alpha, Low_beta, High_beta, Gamma
0.845583,0.899943,0.205633,0.247616,0.149207,
1.82966,1.76615,0.602822,0.563181,0.246147,
4.37695,1.63715,0.78305,0.653965,0.393195,
0.657216,0.180556,0.210768,0.624718,0.259183,
2.77865,2.81827,1.06759,1.28807,0.388083,
0.89647,1.00871,0.257932,0.226978,0.146823,
1.66698,1.61695,0.560233,0.589405,0.254208,
4.17474,1.97521,0.705736,0.654844,0.412844,
0.659245,0.146385,0.19787,0.631508,0.255002,
2.99572,3.666,1.0047,1.48217,0.386662,
0.979836,1.17167,0.315192,0.202479,0.146152,
2.18022,1.73913,0.581271,0.612238,0.27249,
4.99324,2.89602,0.697351,0.711638,0.440271,
0.624457,0.117492,0.17949,0.674854,0.264119,
3.46615,5.33649,0.897467,1.68701,0.412456,
1.08136,1.29056,0.374636,0.179353,0.143745,
4.09186,2.20626,0.640997,0.635786,0.289902,
8.47787,4.59997,0.686063,0.79131,0.457462,
0.558583,0.0889424,0.177795,0.739382,0.2859,
4.24136,7.76747,0.784975,1.85799,0.4525,
1.17715,1.3218,0.417937,0.166175,0.136603,
7.65465,2.88249,0.708727,0.664572,0.301955,
15.4329,6.85346,0.724698,0.893173,0.463931,
0.499504,0.0755457,0.190895,0.800654,0.313209,
5.14836,10.4936,0.696674,1.94969,0.496127,
1.24744,1.26329,0.44595,0.163539,0.124615,
7.65465,2.88249,0.708727,0.664572,0.301955,
15.4329,6.85346,0.724698,0.893173,0.463931,
0.45945,0.0792314,0.224945,0.837772,0.343606,
5.99142,12.8933,0.641121,1.93119,0.528575,
1.29595,1.15566,0.462776,0.171419,0.110486,
12.4392,3.53306,0.73704,0.694212,0.308841,
25.3472,9.27989,0.729628,0.98734,0.459553,
0.45945,0.0792314,0.224945,0.837772,0.343606,
5.99142,12.8933,0.641121,1.93119,0.528575,
1.29595,1.15566,0.462776,0.171419,0.110486,
17.446,3.95224,0.738,0.721788,0.313289,
36.3468,11.2409,0.735892,1.04913,0.448655,
0.469744,0.0956768,0.265854,0.845644,0.364735,
6.58557,14.2358,0.645465,1.81501,0.542089,
1.32094,1.06162,0.468394,0.187101,0.0993407,
21.3617,3.93652,0.686269,0.7313,0.317506,
45.4253,12.133,0.686059,1.05559,0.432535,
0.521041,0.126168,0.299049,0.831965,0.376473,
6.78307,14.1936,0.662646,1.63132,0.534214,
1.30102,1.02199,0.459354,0.210461,0.0956706,
22.7922,3.48764,0.637772,0.718122,0.318834,
49.4882,11.6209,0.656576,1.00565,0.409116,
0.583154,0.169412,0.318397,0.813121,0.383571,
6.5763,12.8406,0.695558,1.42629,0.505599,
1.26895,1.04356,0.439883,0.22892,0.100148,
21.3799,2.73499,0.618926,0.688475,0.313704,
47.2499,9.90498,0.6711,0.902849,0.383537,
0.63201,0.218797,0.312905,0.801698,0.394492,
6.09619,10.7006,0.726194,1.23994,0.468246,
1.1479,1.0827,0.41065,0.247134,0.112779,
17.7094,1.85644,0.65943,0.652909,0.301467,
39.9366,7.41784,0.763987,0.779471,0.358683,
0.640779,0.268453,0.28874,0.804832,0.419923,
5.723,8.4362,0.802289,1.08733,0.430716,
1.00076,1.12654,0.368366,0.262895,0.129837,
13.0119,1.20289,0.76606,0.62307,0.28859,
30.1461,5.08367,0.938224,0.656053,0.340202,
0.613403,0.337348,0.253231,0.814359,0.465629,
5.70451,6.68792,0.908579,0.984569,0.403701,
0.839746,1.15538,0.323731,0.27839,0.14771,
8.89809,0.973694,0.915525,0.608614,0.291729,
21.2241,3.61285,1.17606,0.561789,0.346084,
0.557841,0.420985,0.229003,0.83305,0.523339,
6.14641,5.77517,1.05977,0.909481,0.396585,
0.732896,1.19558,0.273563,0.290326,0.163386,
